gene_symbol	sig-DMD	corr_coef	p_value	abs_corr_coef	FDR_BH_Reject	FDR_BH_p	Bonfer_Reject	Bonfer_p	BRCA	TN-BRCA	nonTN-BRCA	ERR-BRCA
ADIRF	sig-DMD_580	-0.4327346429344058	0.0	0.4327346429344058	True	0.0	True	0.0	Yes	Yes	Yes	No
ADIRF	sig-DMD_581	-0.2291235149897717	0.0	0.2291235149897717	True	0.0	True	0.0	Yes	Yes	Yes	No
ADM	sig-DMD_294	0.3571473656395228	0.0	0.3571473656395228	True	0.0	True	0.0	Yes	No	No	No
ADRA2A	sig-DMD_613	-0.33703539601313065	0.0	0.33703539601313065	True	0.0	True	0.0	Yes	No	No	No
ADRA2C	sig-DMD_3391	0.2627764341360381	0.0	0.2627764341360381	True	0.0	True	0.0	Yes	Yes	Yes	Yes
AFAP1	sig-DMD_3405	-0.3823277602427035	0.0	0.3823277602427035	True	0.0	True	0.0	No	No	Yes	No
AFG3L2	sig-DMD_2325	-0.2578595495400513	0.0	0.2578595495400513	True	0.0	True	0.0	No	Yes	No	No
AGAP1	sig-DMD_2823	0.20640953837246606	0.0	0.20640953837246606	True	0.0	True	0.0	Yes	No	No	No
AGAP2	sig-DMD_949	0.5877519132970439	0.0	0.5877519132970439	True	0.0	True	0.0	Yes	No	No	No
AHCTF1	sig-DMD_491	-0.22385530123734806	0.0	0.22385530123734806	True	0.0	True	0.0	No	Yes	No	No
AHNAK	sig-DMD_793	-0.3668538769589277	0.0	0.3668538769589277	True	0.0	True	0.0	Yes	No	No	No
AIM1	sig-DMD_3738	-0.2772979271098741	0.0	0.2772979271098741	True	0.0	True	0.0	Yes	No	No	No
AJAP1	sig-DMD_40	-0.2324365422574983	0.0	0.2324365422574983	True	0.0	True	0.0	Yes	No	No	No
AK4	sig-DMD_165	-0.3639649898565268	0.0	0.3639649898565268	True	0.0	True	0.0	Yes	No	Yes	No
AKNA	sig-DMD_4290	0.2864024819638688	0.0	0.2864024819638688	True	0.0	True	0.0	Yes	No	No	No
AKR1B1	sig-DMD_3932	-0.4759752347780629	0.0	0.4759752347780629	True	0.0	True	0.0	No	No	Yes	No
AKT1	sig-DMD_1482	-0.4019531298192929	0.0	0.4019531298192929	True	0.0	True	0.0	Yes	No	No	No
ALK	sig-DMD_2659	-0.205679668156603	0.0	0.205679668156603	True	0.0	True	0.0	No	No	Yes	No
ALOX15	sig-DMD_2140	0.3559696427945825	0.0	0.3559696427945825	True	0.0	True	0.0	Yes	No	No	No
ALOXE3	sig-DMD_2153	0.2068286408148835	0.0	0.2068286408148835	True	0.0	True	0.0	No	Yes	No	No
ALPK1	sig-DMD_3463	-0.2330719928106335	0.0	0.2330719928106335	True	0.0	True	0.0	Yes	Yes	Yes	No
ALPK1	sig-DMD_3464	-0.2097490086155753	0.0	0.2097490086155753	True	0.0	True	0.0	Yes	Yes	Yes	No
ALX4	sig-DMD_771	-0.20954694775389554	0.0	0.20954694775389554	True	0.0	True	0.0	Yes	Yes	Yes	No
AMPD3	sig-DMD_746	0.22133812119211912	0.0	0.22133812119211912	True	0.0	True	0.0	Yes	No	No	No
ANKRD13B	sig-DMD_2183	0.2053762189258489	0.0	0.2053762189258489	True	0.0	True	0.0	Yes	Yes	Yes	No
ANO1	sig-DMD_829	-0.3926397386275326	0.0	0.3926397386275326	True	0.0	True	0.0	Yes	Yes	Yes	No
ANP32E	sig-DMD_248	-0.21762067057241014	0.0	0.21762067057241014	True	0.0	True	0.0	No	Yes	No	Yes
ANP32E	sig-DMD_250	-0.37748517417020416	0.0	0.37748517417020416	True	0.0	True	0.0	No	Yes	No	Yes
AP1S1	sig-DMD_3900	-0.2421264718684306	0.0	0.2421264718684306	True	0.0	True	0.0	No	Yes	No	No
AP5B1	sig-DMD_815	-0.3574503532281285	0.0	0.3574503532281285	True	0.0	True	0.0	Yes	Yes	Yes	No
APBB1IP	sig-DMD_544	-0.2569839471126661	0.0	0.2569839471126661	True	0.0	True	0.0	Yes	No	No	No
APC2	sig-DMD_2398	0.34835779247348136	0.0	0.34835779247348136	True	0.0	True	0.0	Yes	No	No	No
APCDD1	sig-DMD_2322	-0.408138182232232	0.0	0.408138182232232	True	0.0	True	0.0	No	No	Yes	No
APH1B	sig-DMD_1541	-0.4823554016254658	0.0	0.4823554016254658	True	0.0	True	0.0	No	Yes	No	No
APLP2	sig-DMD_878	-0.24230918400881385	0.0	0.24230918400881385	True	0.0	True	0.0	Yes	No	No	No
APP	sig-DMD_122	-0.2978719275190215	0.0	0.2978719275190215	True	0.0	True	0.0	No	No	Yes	No
APP	sig-DMD_2632	0.2142106662455113	0.0	0.2142106662455113	True	0.0	True	0.0	No	No	Yes	No
APP	sig-DMD_3125	-0.36983392581283775	0.0	0.36983392581283775	True	0.0	True	0.0	No	No	Yes	No
ARAP3	sig-DMD_3579	-0.3806596754071476	0.0	0.3806596754071476	True	0.0	True	0.0	Yes	No	No	No
ARHGAP20	sig-DMD_855	-0.3273127847538746	0.0	0.3273127847538746	True	0.0	True	0.0	Yes	Yes	Yes	No
ARHGAP21	sig-DMD_541	-0.5161957595027543	0.0	0.5161957595027543	True	0.0	True	0.0	No	No	Yes	No
ARHGAP35	sig-DMD_2584	-0.356450366682645	0.0	0.356450366682645	True	0.0	True	0.0	Yes	Yes	No	No
ARHGAP44	sig-DMD_2159	0.4827388049525098	0.0	0.4827388049525098	True	0.0	True	0.0	Yes	No	No	No
ARHGAP8	sig-DMD_3210	0.22027877679909505	0.0	0.22027877679909505	True	0.0	True	0.0	No	No	Yes	No
ARHGEF1	sig-DMD_2566	-0.3745986480156495	0.0	0.3745986480156495	True	0.0	True	0.0	No	Yes	Yes	No
ARHGEF1	sig-DMD_833	-0.3689734382715607	0.0	0.3689734382715607	True	0.0	True	0.0	No	Yes	Yes	No
ARHGEF1	sig-DMD_864	0.2263461145816789	0.0	0.2263461145816789	True	0.0	True	0.0	No	Yes	Yes	No
ARHGEF10L	sig-DMD_78	-0.3271618337737769	0.0	0.3271618337737769	True	0.0	True	0.0	No	No	Yes	No
ARHGEF12	sig-DMD_864	-0.2806398791971546	0.0	0.2806398791971546	True	0.0	True	0.0	Yes	No	No	No
ARHGEF16	sig-DMD_28	-0.2429564206474045	0.0	0.2429564206474045	True	0.0	True	0.0	Yes	No	No	No
ARHGEF16	sig-DMD_29	-0.2121525225228333	0.0	0.2121525225228333	True	0.0	True	0.0	Yes	No	No	No
ARHGEF17	sig-DMD_833	-0.24297338265953525	0.0	0.24297338265953525	True	0.0	True	0.0	Yes	No	No	No
ARHGEF2	sig-DMD_273	-0.5171145983594615	0.0	0.5171145983594615	True	0.0	True	0.0	No	No	Yes	No
ARID5A	sig-DMD_2719	-0.5695729377254207	0.0	0.5695729377254207	True	0.0	True	0.0	Yes	Yes	No	No
ARL4C	sig-DMD_2821	-0.5915031652366232	0.0	0.5915031652366232	True	0.0	True	0.0	No	No	Yes	Yes
ARL4C	sig-DMD_2822	0.3372648716416232	0.0	0.3372648716416232	True	0.0	True	0.0	No	No	Yes	Yes
ARL8B	sig-DMD_3236	-0.3683516834017084	0.0	0.3683516834017084	True	0.0	True	0.0	No	No	Yes	No
ARRB1	sig-DMD_836	-0.5096575514958689	0.0	0.5096575514958689	True	0.0	True	0.0	Yes	No	No	No
ARRDC4	sig-DMD_1593	0.30855004716494955	0.0	0.30855004716494955	True	0.0	True	0.0	Yes	No	No	No
ARV1	sig-DMD_396	-0.26698352452271545	0.0	0.26698352452271545	True	0.0	True	0.0	Yes	Yes	Yes	No
ASCL1	sig-DMD_966	0.31521012195294673	0.0	0.31521012195294673	True	0.0	True	0.0	No	No	Yes	Yes
ASCL2	sig-DMD_743	-0.22063727720474968	0.0	0.22063727720474968	True	0.0	True	0.0	No	Yes	No	No
ASNS	sig-DMD_3890	0.3220824440480314	0.0	0.3220824440480314	True	0.0	True	0.0	Yes	No	No	No
ASS1	sig-DMD_4316	-0.5121318696903266	0.0	0.5121318696903266	True	0.0	True	0.0	No	No	No	Yes
ASXL3	sig-DMD_2341	-0.2442276153036748	0.0	0.2442276153036748	True	0.0	True	0.0	No	No	Yes	No
ATAD3C	sig-DMD_6	-0.2027927157858882	0.0	0.2027927157858882	True	0.0	True	0.0	Yes	No	No	No
ATL2	sig-DMD_2667	-0.3582464623569889	0.0	0.3582464623569889	True	0.0	True	0.0	No	No	Yes	No
ATP11B	sig-DMD_3353	-0.4208501816106893	0.0	0.4208501816106893	True	0.0	True	0.0	No	Yes	No	No
ATP1A3	sig-DMD_2569	0.21735415255799714	0.0	0.21735415255799714	True	0.0	True	0.0	Yes	Yes	No	No
ATP6V0C	sig-DMD_1622	0.21948643254619327	0.0	0.21948643254619327	True	0.0	True	0.0	No	No	Yes	No
ATP6V0E2	sig-DMD_3944	-0.3280686303068887	0.0	0.3280686303068887	True	0.0	True	0.0	Yes	No	Yes	No
ATPIF1	sig-DMD_104	-0.3326870851102067	0.0	0.3326870851102067	True	0.0	True	0.0	No	Yes	No	No
ATXN10	sig-DMD_3212	0.2768320655597797	0.0	0.2768320655597797	True	0.0	True	0.0	Yes	Yes	Yes	No
ATXN2	sig-DMD_1006	0.2400808319239451	0.0	0.2400808319239451	True	0.0	True	0.0	Yes	Yes	Yes	No
AURKA	sig-DMD_3013	-0.2380004398591545	0.0	0.2380004398591545	True	0.0	True	0.0	Yes	No	No	No
AVPR1A	sig-DMD_953	-0.2417420950271391	0.0	0.2417420950271391	True	0.0	True	0.0	Yes	Yes	Yes	No
AXIN2	sig-DMD_2241	-0.2584106815678394	0.0	0.2584106815678394	True	0.0	True	0.0	No	No	No	Yes
B3GALT5	sig-DMD_3142	-0.2820962232662227	0.0	0.2820962232662227	True	0.0	True	0.0	Yes	No	No	No
B3GAT1	sig-DMD_884	0.5666433905648005	0.0	0.5666433905648005	True	0.0	True	0.0	Yes	No	No	No
B3GAT1	sig-DMD_885	0.4682490714221452	0.0	0.4682490714221452	True	0.0	True	0.0	Yes	No	No	No
B3GAT1	sig-DMD_886	0.6318028546797202	0.0	0.6318028546797202	True	0.0	True	0.0	Yes	No	No	No
B3GNT5	sig-DMD_3354	-0.6073127769275589	0.0	0.6073127769275589	True	0.0	True	0.0	Yes	Yes	Yes	No
B4GALNT3	sig-DMD_888	-0.5095187986060589	0.0	0.5095187986060589	True	0.0	True	0.0	Yes	No	No	No
BACE2	sig-DMD_3144	-0.27662138182697216	0.0	0.27662138182697216	True	0.0	True	0.0	No	No	Yes	No
BAI1	sig-DMD_4198	0.2124439535300749	0.0	0.2124439535300749	True	0.0	True	0.0	Yes	Yes	Yes	No
BAIAP2	sig-DMD_2303	-0.5067378386258996	0.0	0.5067378386258996	True	0.0	True	0.0	No	No	No	Yes
BAIAP2	sig-DMD_3891	0.2155431259607052	0.0	0.2155431259607052	True	0.0	True	0.0	No	No	No	Yes
BAIAP3	sig-DMD_1615	0.3957196869699911	0.0	0.3957196869699911	True	0.0	True	0.0	Yes	Yes	Yes	No
BAMBI	sig-DMD_548	-0.6286332977905464	0.0	0.6286332977905464	True	0.0	True	0.0	No	No	No	Yes
BARHL2	sig-DMD_177	-0.20363954862999645	0.0	0.20363954862999645	True	0.0	True	0.0	Yes	Yes	Yes	No
BBOX1	sig-DMD_763	-0.2111754975357112	0.0	0.2111754975357112	True	0.0	True	0.0	Yes	Yes	Yes	No
BCL11A	sig-DMD_2678	-0.26834727150699783	0.0	0.26834727150699783	True	0.0	True	0.0	Yes	No	No	No
BCL11B	sig-DMD_1467	-0.4314988873491276	0.0	0.4314988873491276	True	0.0	True	0.0	Yes	No	No	No
BCL2L11	sig-DMD_2730	0.27134879622993724	0.0	0.27134879622993724	True	0.0	True	0.0	Yes	Yes	Yes	No
BCL6	sig-DMD_2148	-0.4010282369317552	0.0	0.4010282369317552	True	0.0	True	0.0	Yes	No	No	No
BCL6	sig-DMD_2149	-0.32877449748189025	0.0	0.32877449748189025	True	0.0	True	0.0	Yes	No	No	No
BCL6	sig-DMD_3365	-0.38493959399739947	0.0	0.38493959399739947	True	0.0	True	0.0	Yes	No	No	No
BCL6B	sig-DMD_2148	-0.2518833469049858	0.0	0.2518833469049858	True	0.0	True	0.0	Yes	No	No	No
BCL6B	sig-DMD_2149	-0.3325698159335397	0.0	0.3325698159335397	True	0.0	True	0.0	Yes	No	No	No
BCL7A	sig-DMD_1073	-0.22477400919772508	0.0	0.22477400919772508	True	0.0	True	0.0	Yes	No	No	No
BCOR	sig-DMD_4359	0.20004489060474592	0.0	0.20004489060474592	True	0.0	True	0.0	Yes	Yes	Yes	No
BCR	sig-DMD_3173	-0.2807417806597156	0.0	0.2807417806597156	True	0.0	True	0.0	Yes	Yes	Yes	No
BHLHE40	sig-DMD_3236	-0.6398621372387401	0.0	0.6398621372387401	True	0.0	True	0.0	Yes	No	Yes	No
BICC1	sig-DMD_565	-0.2377216178689029	0.0	0.2377216178689029	True	0.0	True	0.0	No	No	Yes	No
BICD2	sig-DMD_4264	-0.2884591614499106	0.0	0.2884591614499106	True	0.0	True	0.0	Yes	Yes	Yes	No
BLCAP	sig-DMD_2918	-0.3942759770834049	0.0	0.3942759770834049	True	0.0	True	0.0	Yes	No	No	No
BMF	sig-DMD_1516	-0.2162614801261374	0.0	0.2162614801261374	True	0.0	True	0.0	Yes	No	No	No
BMI1	sig-DMD_534	0.2293522622524772	0.0	0.2293522622524772	True	0.0	True	0.0	Yes	No	Yes	No
BMP2	sig-DMD_2853	-0.39744866188068	0.0	0.39744866188068	True	0.0	True	0.0	Yes	Yes	Yes	No
BMP7	sig-DMD_3015	-0.20456077053111896	0.0	0.20456077053111896	True	0.0	True	0.0	Yes	Yes	Yes	No
BMP7	sig-DMD_3017	0.3176559684134396	0.0	0.3176559684134396	True	0.0	True	0.0	Yes	Yes	Yes	No
BNC1	sig-DMD_1568	-0.4659972768753419	0.0	0.4659972768753419	True	0.0	True	0.0	Yes	No	No	No
BNIP1	sig-DMD_3605	0.32253610075000283	0.0	0.32253610075000283	True	0.0	True	0.0	Yes	No	No	No
BNIP3	sig-DMD_711	-0.3312826775951402	0.0	0.3312826775951402	True	0.0	True	0.0	Yes	Yes	Yes	No
BRI3	sig-DMD_3891	-0.4168635691501279	0.0	0.4168635691501279	True	0.0	True	0.0	No	No	Yes	No
BTG3	sig-DMD_3124	-0.6565438282596455	0.0	0.6565438282596455	True	0.0	True	0.0	No	No	Yes	No
C10orf105	sig-DMD_570	-0.3211797410118744	0.0	0.3211797410118744	True	0.0	True	0.0	Yes	Yes	Yes	No
C10orf35	sig-DMD_568	0.26067067247906645	0.0	0.26067067247906645	True	0.0	True	0.0	No	Yes	No	No
C11orf58	sig-DMD_752	0.2691712709154355	0.0	0.2691712709154355	True	0.0	True	0.0	Yes	Yes	Yes	Yes
C11orf92	sig-DMD_855	-0.4729142198998537	0.0	0.4729142198998537	True	0.0	True	0.0	Yes	Yes	Yes	No
C12orf68	sig-DMD_922	-0.21020518914818584	0.0	0.21020518914818584	True	0.0	True	0.0	Yes	No	No	No
C1QTNF9	sig-DMD_1325	0.25890249675883	0.0	0.25890249675883	True	0.0	True	0.0	Yes	No	No	No
C21orf67	sig-DMD_3154	-0.20235731320142367	0.0	0.20235731320142367	True	0.0	True	0.0	Yes	Yes	Yes	No
C2orf88	sig-DMD_2783	-0.453253076673289	0.0	0.453253076673289	True	0.0	True	0.0	No	No	Yes	No
C5orf20	sig-DMD_3565	-0.23280409566017465	0.0	0.23280409566017465	True	0.0	True	0.0	Yes	No	No	No
C5orf38	sig-DMD_3498	-0.2797270668258657	0.0	0.2797270668258657	True	0.0	True	0.0	Yes	Yes	Yes	No
C9orf3	sig-DMD_4268	-0.5500452606371831	0.0	0.5500452606371831	True	0.0	True	0.0	No	No	Yes	No
CA12	sig-DMD_1541	-0.7796300524523433	0.0	0.7796300524523433	True	0.0	True	0.0	No	Yes	No	No
CA4	sig-DMD_2233	-0.3546651369174283	0.0	0.3546651369174283	True	0.0	True	0.0	Yes	Yes	Yes	No
CACHD1	sig-DMD_162	-0.4422148226748941	0.0	0.4422148226748941	True	0.0	True	0.0	No	No	Yes	No
CACNA1C	sig-DMD_890	-0.20236761732180453	0.0	0.20236761732180453	True	0.0	True	0.0	No	No	Yes	No
CACNB1	sig-DMD_2196	-0.29378416314813616	0.0	0.29378416314813616	True	0.0	True	0.0	No	Yes	No	No
CACNG3	sig-DMD_1956	0.20179927988321714	0.0	0.20179927988321714	True	0.0	True	0.0	Yes	Yes	Yes	No
CACNG3	sig-DMD_1961	0.3425588270166599	0.0	0.3425588270166599	True	0.0	True	0.0	Yes	Yes	Yes	No
CACNG4	sig-DMD_2242	0.2150669932995796	0.0	0.2150669932995796	True	0.0	True	0.0	No	Yes	No	No
CADM3	sig-DMD_292	-0.2667957279150138	0.0	0.2667957279150138	True	0.0	True	0.0	Yes	No	No	No
CADM3	sig-DMD_294	0.5476339703992739	0.0	0.5476339703992739	True	0.0	True	0.0	Yes	No	No	No
CAMK2B	sig-DMD_3832	0.2494362801054468	0.0	0.2494362801054468	True	0.0	True	0.0	No	Yes	Yes	No
CAMK2B	sig-DMD_3833	0.2813276346624468	0.0	0.2813276346624468	True	0.0	True	0.0	No	Yes	Yes	No
CAPN1	sig-DMD_811	-0.2327499095460513	0.0	0.2327499095460513	True	0.0	True	0.0	Yes	No	No	No
CARM1	sig-DMD_2424	-0.20806839250289613	0.0	0.20806839250289613	True	0.0	True	0.0	No	No	Yes	No
CATSPER3	sig-DMD_3562	0.21481907736681505	0.0	0.21481907736681505	True	0.0	True	0.0	Yes	No	No	No
CBFA2T3	sig-DMD_2128	0.3510224947509397	0.0	0.3510224947509397	True	0.0	True	0.0	Yes	Yes	Yes	No
CBLN1	sig-DMD_2085	0.4075531605509296	0.0	0.4075531605509296	True	0.0	True	0.0	Yes	No	No	No
CBLN2	sig-DMD_2375	0.34628057886989666	0.0	0.34628057886989666	True	0.0	True	0.0	Yes	No	No	No
CBX4	sig-DMD_2295	0.3727007270048728	0.0	0.3727007270048728	True	0.0	True	0.0	Yes	Yes	Yes	No
CBX4	sig-DMD_2297	0.4599927688682954	0.0	0.4599927688682954	True	0.0	True	0.0	Yes	Yes	Yes	No
CBX8	sig-DMD_2295	0.3684839945743983	0.0	0.3684839945743983	True	0.0	True	0.0	Yes	No	Yes	No
CCBE1	sig-DMD_2370	-0.2593167975982225	0.0	0.2593167975982225	True	0.0	True	0.0	No	Yes	No	No
CCDC14	sig-DMD_3307	-0.2210063461281052	0.0	0.2210063461281052	True	0.0	True	0.0	Yes	No	No	No
CCDC90B	sig-DMD_844	-0.2196096498311716	0.0	0.2196096498311716	True	0.0	True	0.0	No	Yes	No	No
CCND2	sig-DMD_894	-0.3355900860667092	0.0	0.3355900860667092	True	0.0	True	0.0	Yes	No	No	No
CCNJ	sig-DMD_586	-0.4074693919869132	0.0	0.4074693919869132	True	0.0	True	0.0	No	No	Yes	No
CCSAP	sig-DMD_393	-0.3636989221555663	0.0	0.3636989221555663	True	0.0	True	0.0	Yes	Yes	No	No
CCSAP	sig-DMD_394	0.2719892851803899	0.0	0.2719892851803899	True	0.0	True	0.0	Yes	Yes	No	No
CCT5	sig-DMD_3507	-0.4920754468231713	0.0	0.4920754468231713	True	0.0	True	0.0	No	Yes	No	No
CD207	sig-DMD_2690	-0.217789831933017	0.0	0.217789831933017	True	0.0	True	0.0	Yes	Yes	Yes	No
CD226	sig-DMD_2374	-0.21383344521917785	0.0	0.21383344521917785	True	0.0	True	0.0	Yes	No	No	No
CD38	sig-DMD_3415	-0.3566959785323872	0.0	0.3566959785323872	True	0.0	True	0.0	No	No	Yes	No
CD46	sig-DMD_371	-0.5220965857058271	0.0	0.5220965857058271	True	0.0	True	0.0	Yes	Yes	Yes	No
CD5	sig-DMD_1619	0.3597011056123729	0.0	0.3597011056123729	True	0.0	True	0.0	Yes	No	No	No
CDC42BPG	sig-DMD_808	-0.4146818115247518	0.0	0.4146818115247518	True	0.0	True	0.0	Yes	Yes	No	No
CDC42BPG	sig-DMD_809	-0.2003879780587033	0.0	0.2003879780587033	True	0.0	True	0.0	Yes	Yes	No	No
CDC42EP2	sig-DMD_812	-0.27896175269434426	0.0	0.27896175269434426	True	0.0	True	0.0	Yes	No	No	No
CDCA8	sig-DMD_125	0.305793507881878	0.0	0.305793507881878	True	0.0	True	0.0	Yes	Yes	Yes	No
CDH1	sig-DMD_2102	-0.3162488212336885	0.0	0.3162488212336885	True	0.0	True	0.0	Yes	No	No	No
CDH13	sig-DMD_2116	0.3383193247597271	0.0	0.3383193247597271	True	0.0	True	0.0	Yes	No	No	No
CDH20	sig-DMD_2371	-0.2890986712465439	0.0	0.2890986712465439	True	0.0	True	0.0	No	No	No	Yes
CDH22	sig-DMD_2933	0.20497157605117075	0.0	0.20497157605117075	True	0.0	True	0.0	Yes	No	No	No
CDH26	sig-DMD_3041	0.2001445679089804	0.0	0.2001445679089804	True	0.0	True	0.0	Yes	No	No	No
CDH4	sig-DMD_3041	0.4576478505407714	0.0	0.4576478505407714	True	0.0	True	0.0	Yes	Yes	Yes	No
CDH4	sig-DMD_3043	0.3830790086378497	0.0	0.3830790086378497	True	0.0	True	0.0	Yes	Yes	Yes	No
CDH4	sig-DMD_3068	0.2667015930172273	0.0	0.2667015930172273	True	0.0	True	0.0	Yes	Yes	Yes	No
CDH4	sig-DMD_3074	0.3421982656567093	0.0	0.3421982656567093	True	0.0	True	0.0	Yes	Yes	Yes	No
CDH4	sig-DMD_3082	-0.2061884839855524	0.0	0.2061884839855524	True	0.0	True	0.0	Yes	Yes	Yes	No
CDH4	sig-DMD_3085	0.4220484412955443	0.0	0.4220484412955443	True	0.0	True	0.0	Yes	Yes	Yes	No
CDH4	sig-DMD_3089	0.4598615803223685	0.0	0.4598615803223685	True	0.0	True	0.0	Yes	Yes	Yes	No
CDH4	sig-DMD_3090	0.2448655759669668	0.0	0.2448655759669668	True	0.0	True	0.0	Yes	Yes	Yes	No
CDH4	sig-DMD_3098	0.4426348112814513	0.0	0.4426348112814513	True	0.0	True	0.0	Yes	Yes	Yes	No
CDH4	sig-DMD_3099	0.4775632057814855	0.0	0.4775632057814855	True	0.0	True	0.0	Yes	Yes	Yes	No
CDH4	sig-DMD_3100	0.4065000251787698	0.0	0.4065000251787698	True	0.0	True	0.0	Yes	Yes	Yes	No
CDH4	sig-DMD_3101	0.5161317157537869	0.0	0.5161317157537869	True	0.0	True	0.0	Yes	Yes	Yes	No
CDH8	sig-DMD_1349	-0.2254544500903204	0.0	0.2254544500903204	True	0.0	True	0.0	Yes	No	No	No
CDH8	sig-DMD_2099	-0.2254092408121582	0.0	0.2254092408121582	True	0.0	True	0.0	Yes	No	No	No
CDIP1	sig-DMD_1634	-0.21857276349454208	0.0	0.21857276349454208	True	0.0	True	0.0	No	No	Yes	No
CDK2AP1	sig-DMD_1077	-0.4704614682333966	0.0	0.4704614682333966	True	0.0	True	0.0	No	No	Yes	Yes
CDK5	sig-DMD_2802	0.2198094321054919	0.0	0.2198094321054919	True	0.0	True	0.0	Yes	No	No	No
CDK5R2	sig-DMD_2802	0.20712633521702206	0.0	0.20712633521702206	True	0.0	True	0.0	Yes	Yes	No	No
CDKL1	sig-DMD_1427	-0.20263998853118687	0.0	0.20263998853118687	True	0.0	True	0.0	No	Yes	No	No
CDKN2A	sig-DMD_4226	0.20050177420535392	0.0	0.20050177420535392	True	0.0	True	0.0	Yes	Yes	Yes	No
CDKN2A	sig-DMD_4227	-0.5281677831132797	0.0	0.5281677831132797	True	0.0	True	0.0	Yes	Yes	Yes	No
CDKN2B	sig-DMD_4227	-0.2037390618832784	0.0	0.2037390618832784	True	0.0	True	0.0	Yes	No	No	No
CEBPA	sig-DMD_2544	-0.2530391591302854	0.0	0.2530391591302854	True	0.0	True	0.0	Yes	Yes	Yes	No
CEBPG	sig-DMD_2545	-0.3050133221656212	0.0	0.3050133221656212	True	0.0	True	0.0	Yes	Yes	Yes	No
CELF2	sig-DMD_527	-0.3907889299143241	0.0	0.3907889299143241	True	0.0	True	0.0	Yes	No	Yes	No
CELF4	sig-DMD_2343	0.2968162959502979	0.0	0.2968162959502979	True	0.0	True	0.0	Yes	No	No	No
CELF4	sig-DMD_2344	0.35132465323663986	0.0	0.35132465323663986	True	0.0	True	0.0	Yes	No	No	No
CELSR1	sig-DMD_3219	-0.7269740278907305	0.0	0.7269740278907305	True	0.0	True	0.0	No	No	Yes	Yes
CENPN	sig-DMD_2113	-0.4026169084590028	0.0	0.4026169084590028	True	0.0	True	0.0	Yes	No	No	No
CEP19	sig-DMD_3375	0.2854082887468761	0.0	0.2854082887468761	True	0.0	True	0.0	No	Yes	No	No
CHD5	sig-DMD_43	0.21582424570217626	0.0	0.21582424570217626	True	0.0	True	0.0	Yes	Yes	No	No
CHD6	sig-DMD_2923	-0.2227637772459607	0.0	0.2227637772459607	True	0.0	True	0.0	Yes	No	No	No
CHKA	sig-DMD_823	-0.414978486578884	0.0	0.414978486578884	True	0.0	True	0.0	Yes	Yes	Yes	No
CHKA	sig-DMD_824	-0.2601356501077308	0.0	0.2601356501077308	True	0.0	True	0.0	Yes	Yes	Yes	No
CHL1	sig-DMD_3232	-0.32394867831972546	0.0	0.32394867831972546	True	0.0	True	0.0	Yes	No	No	No
