gene_symbol	BRCA	TN-BRCA	nonTN-BRCA	EndoR-BRCA
LIG4	No	Yes	No	No
LILRA1	Yes	No	No	No
LILRB1	Yes	No	No	No
LILRB4	Yes	No	No	No
LIMD2	Yes	Yes	Yes	No
LIMK2	Yes	No	No	No
LIMS1	No	No	Yes	No
LIN28B	Yes	No	No	No
LIN9	No	Yes	Yes	No
LINGO1	Yes	No	No	Yes
LINGO2	No	No	Yes	No
LIPG	No	No	Yes	No
LIPT2	No	Yes	No	No
LMF1	Yes	Yes	Yes	No
LMLN	No	Yes	No	No
LMNA	No	No	Yes	Yes
LMNB1	Yes	No	No	No
LMO2	No	Yes	No	No
LMO4	No	No	Yes	No
LMO7	Yes	No	No	No
LMX1A	Yes	No	No	No
LMX1B	Yes	Yes	Yes	No
LOR	Yes	No	Yes	No
LPGAT1	Yes	Yes	Yes	No
LPHN1	No	Yes	No	No
LPIN2	Yes	Yes	Yes	No
LRAT	No	Yes	No	No
LRFN2	No	No	Yes	No
LRIG1	Yes	No	No	No
LRIG3	No	No	Yes	No
LRP10	Yes	No	No	Yes
LRP12	No	No	Yes	No
LRP5	Yes	Yes	Yes	No
LRP5L	Yes	Yes	Yes	No
LRP8	Yes	Yes	Yes	No
LRRC38	Yes	No	No	No
LRRC3B	Yes	No	No	No
LRRC4	No	No	No	Yes
LRRC41	Yes	Yes	No	No
LRRC4B	Yes	No	No	No
LRRC7	Yes	No	No	No
LRRC8A	Yes	Yes	Yes	No
LRRC8B	No	Yes	No	No
LRRC8C	No	Yes	Yes	No
LRRC8E	Yes	Yes	Yes	No
LRRFIP1	Yes	No	Yes	No
LRRK1	Yes	Yes	No	No
LRRN1	No	No	Yes	No
LRRTM1	Yes	Yes	Yes	No
LRSAM1	Yes	No	No	No
LRTM1	Yes	No	No	No
LSG1	No	Yes	No	No
LSM14A	No	No	No	Yes
LSM14B	No	Yes	No	No
LSM4	No	No	Yes	No
LTB4R	Yes	No	No	No
LTBP3	No	No	Yes	No
LTBP4	Yes	No	No	No
LTC4S	No	No	Yes	No
LTK	Yes	No	No	No
LY6E	Yes	No	No	No
LY6H	Yes	No	No	No
LYL1	Yes	Yes	Yes	No
LYN	Yes	No	No	No
LYPD1	Yes	No	Yes	No
LYPD6	No	Yes	No	No
LYZL1	No	Yes	No	Yes
LZTR1	Yes	No	No	No
LZTS2	No	No	Yes	No
MAB21L1	Yes	Yes	Yes	No
MACF1	Yes	Yes	Yes	No
MAD2L2	No	No	Yes	No
MADCAM1	Yes	No	No	No
MAF	Yes	Yes	Yes	No
MAFA	Yes	No	No	No
MAFB	Yes	No	No	No
MAGEA10	Yes	No	No	No
MALSU1	Yes	Yes	Yes	No
MAML2	No	No	Yes	No
MAN1C1	No	Yes	No	No
MAN2B2	Yes	Yes	Yes	No
MAP10	No	Yes	No	No
MAP1LC3B	Yes	No	No	No
MAP1LC3C	Yes	No	No	No
MAP3K11	No	No	Yes	No
MAP3K5	Yes	No	Yes	No
MAP3K9	Yes	No	No	No
MAP4K4	No	No	Yes	No
MAP4K5	Yes	No	No	No
MAP6	No	No	Yes	No
MAP7	Yes	No	No	No
MAPK11	Yes	No	No	No
MAPK12	No	No	Yes	No
MAPK8	Yes	No	No	No
MAPK9	Yes	No	No	No
MAPKAPK3	No	No	No	Yes
MAPRE2	No	Yes	No	No
MARCH11	Yes	No	No	No
MARCH3	Yes	No	No	No
MARCH8	No	Yes	No	No
MARCKSL1	No	No	Yes	No
MARCO	Yes	Yes	Yes	No
MARK2	Yes	No	Yes	No
MARK4	Yes	No	No	No
MARS2	No	No	Yes	No
MARVELD1	Yes	Yes	Yes	No
MASTL	No	Yes	No	No
MATN2	Yes	No	No	No
MATN4	Yes	No	No	No
MATR3	No	Yes	No	No
MAX	No	Yes	No	No
MB	Yes	Yes	Yes	No
MBD3	Yes	No	No	No
MBD5	No	Yes	No	No
MBLAC2	Yes	No	No	No
MBNL2	Yes	No	No	No
MBP	Yes	No	No	No
MC3R	Yes	No	No	No
MCEE	No	Yes	No	No
MCF2L2	Yes	Yes	Yes	No
MCHR2	Yes	No	Yes	No
MCIDAS	Yes	No	No	No
MCL1	No	Yes	No	No
MCM4	Yes	No	No	No
MCMDC2	No	Yes	No	No
MCOLN2	Yes	No	No	No
MCRS1	Yes	No	No	No
MDFI	No	No	Yes	No
MDGA1	Yes	No	No	No
MDH2	Yes	Yes	Yes	No
MED13L	No	Yes	No	No
MED18	Yes	No	No	No
MED28	Yes	No	No	No
MED30	No	No	Yes	No
MED31	Yes	No	No	No
MED6	Yes	No	No	No
MED9	No	No	No	Yes
MEF2C	Yes	No	Yes	No
MEGF11	Yes	No	No	No
MEGF8	Yes	No	No	No
MEIS1	Yes	No	No	Yes
MEIS2	Yes	Yes	Yes	Yes
MEIS3	No	Yes	No	No
MELK	Yes	No	No	No
MEMO1	No	Yes	No	No
MEN1	Yes	No	No	No
MERTK	No	No	Yes	No
MET	No	No	Yes	No
METRN	Yes	Yes	Yes	No
METRNL	Yes	No	No	No
METTL2B	Yes	No	No	No
METTL9	No	No	Yes	No
MEX3A	Yes	Yes	Yes	No
MEX3B	No	Yes	No	No
MEX3D	Yes	No	No	No
MFSD1	Yes	Yes	Yes	No
MFSD10	Yes	Yes	Yes	No
MFSD3	No	No	Yes	No
MGA	Yes	No	No	No
MGAT4A	Yes	Yes	Yes	No
MGAT4B	Yes	Yes	No	No
MGME1	No	Yes	No	No
MGMT	Yes	No	Yes	Yes
MGRN1	No	No	Yes	No
MGST3	No	Yes	No	No
MIB1	No	Yes	No	No
MICAL2	Yes	No	No	No
MICALL2	Yes	Yes	Yes	No
MICB	No	Yes	No	No
MID1	No	No	Yes	No
MIDN	Yes	No	No	No
MIEN1	Yes	No	No	No
MIF4GD	Yes	No	No	No
MIOS	No	Yes	No	No
MIPOL1	Yes	Yes	No	No
MIS18A	Yes	No	No	No
MITF	Yes	No	No	No
MIXL1	No	Yes	No	No
MKI67	Yes	No	No	No
MKKS	No	Yes	No	No
MKL1	No	No	Yes	No
MKLN1	No	Yes	No	No
MKNK2	Yes	No	No	No
MKRN2	No	Yes	No	No
MKX	Yes	No	No	No
MLLT4	No	No	Yes	No
MLLT6	Yes	Yes	Yes	No
MLXIP	Yes	Yes	Yes	No
MMAA	Yes	No	No	No
MMAB	No	No	Yes	No
MMADHC	Yes	No	No	No
MME	No	No	Yes	No
MMEL1	Yes	No	No	No
MMP14	Yes	No	No	Yes
MMP17	Yes	Yes	Yes	No
MN1	Yes	Yes	Yes	No
MNX1	Yes	No	No	No
MOB3B	No	No	Yes	No
MOCS1	No	No	Yes	No
MOK	Yes	No	No	No
MON2	No	Yes	No	No
MORC2	No	Yes	No	No
MOV10	Yes	No	No	No
MPC1	Yes	Yes	Yes	No
MPP5	No	Yes	No	No
MR1	Yes	No	No	No
MRAS	No	No	Yes	No
MRPL13	No	No	Yes	No
MRPL34	No	Yes	Yes	No
MRPL35	No	Yes	No	No
MRPS14	No	Yes	No	No
MRPS34	Yes	No	No	No
MRPS6	Yes	Yes	Yes	No
MSC	Yes	Yes	Yes	No
MSI1	Yes	No	No	No
MSL3	Yes	No	No	No
MSRA	Yes	Yes	Yes	No
MSRB2	Yes	No	No	No
MSRB3	No	No	Yes	No
MSX1	Yes	No	No	No
MSX2	Yes	Yes	Yes	No
MT2A	Yes	No	No	No
MTAP	No	No	Yes	No
MTERF	Yes	No	No	No
MTFP1	Yes	No	No	No
MTFR2	No	Yes	No	No
MTHFS	No	Yes	No	No
MTMR11	No	Yes	No	No
MTMR12	No	Yes	Yes	No
MTMR2	No	No	Yes	No
MTRNR2L1	Yes	No	No	No
MTSS1L	Yes	Yes	Yes	No
MTUS2	No	Yes	No	No
MUC1	No	No	Yes	No
MUC12	Yes	No	No	No
MUC13	No	No	Yes	No
MUC4	Yes	No	No	Yes
MUC8	Yes	Yes	No	No
MUL1	Yes	No	No	No
MVB12B	Yes	No	No	No
MXD4	No	Yes	No	No
MXI1	No	Yes	No	No
MXRA5	Yes	No	No	No
MXRA8	Yes	No	No	Yes
MYC	Yes	Yes	Yes	No
MYCL	Yes	No	No	No
MYH11	Yes	No	No	No
MYL9	Yes	No	No	No
MYO18A	Yes	No	No	Yes
MYO1C	Yes	No	No	No
MYO3A	Yes	No	No	No
MYO5B	No	No	Yes	No
MYO6	No	No	No	Yes
MYO9B	No	No	Yes	No
MYOD1	Yes	No	No	No
MYT1L	Yes	No	No	No
MZB1	Yes	Yes	Yes	No
MZT2A	Yes	No	No	Yes
N4BP1	Yes	No	No	No
N4BP3	Yes	No	No	No
NAA25	No	Yes	No	No
NAA30	Yes	No	No	No
NAA50	No	Yes	No	No
NAA60	No	Yes	No	No
NAALAD2	No	Yes	No	No
NABP1	No	Yes	No	No
NACC1	No	No	Yes	No
NAGK	Yes	Yes	No	No
NAGS	No	Yes	No	No
NAIF1	Yes	No	No	No
NANOS1	Yes	Yes	Yes	No
NANOS3	Yes	Yes	Yes	No
NAPEPLD	No	Yes	No	No
NAT16	Yes	No	No	No
NAT8L	No	Yes	No	No
NAV1	No	Yes	No	No
NAV2	Yes	No	No	No
NBEA	Yes	Yes	Yes	No
NBL1	Yes	No	No	Yes
NBPF1	Yes	Yes	Yes	No
NBPF12	Yes	No	No	Yes
NBPF16	Yes	No	No	No
NBPF3	Yes	No	No	No
NCAM1	Yes	No	No	No
NCAPG2	Yes	No	No	No
NCBP1	No	Yes	No	No
NCDN	Yes	No	No	No
NCF1	No	No	Yes	No
NCKAP5	No	No	Yes	No
NCL	No	Yes	No	No
NCOA1	Yes	No	No	No
NCOR1	No	No	Yes	No
NCOR2	Yes	Yes	Yes	No
NCR2	Yes	Yes	Yes	No
NDC1	Yes	No	No	No
NDE1	Yes	No	No	No
NDN	Yes	No	No	No
NDNF	Yes	No	No	No
NDRG1	No	No	Yes	No
NDRG2	No	Yes	Yes	No
NDST1	Yes	No	No	No
NDST3	No	Yes	No	No
NDUFS6	Yes	No	No	No
NEDD4	No	Yes	No	No
NEFM	Yes	No	No	No
NEK10	Yes	No	No	No
NEK6	No	Yes	No	Yes
NEK7	No	Yes	No	No
NELFB	Yes	Yes	Yes	No
NELFCD	No	Yes	Yes	No
NEO1	Yes	No	No	No
NES	No	No	Yes	No
NET1	Yes	No	No	No
NETO1	Yes	No	No	No
NEU4	No	No	No	Yes
NEURL	No	Yes	No	Yes
NEURL1B	Yes	Yes	Yes	No
NEURL2	No	No	Yes	No
NEUROD1	Yes	Yes	Yes	No
NEUROD2	Yes	No	No	No
NEUROG1	Yes	No	No	No
NEUROG2	Yes	Yes	Yes	No
NEUROG3	No	Yes	No	No
NFAM1	Yes	Yes	Yes	No
NFASC	No	No	Yes	No
NFATC1	Yes	Yes	Yes	No
NFATC2	No	No	Yes	No
NFE2L1	Yes	No	No	No
NFE2L3	Yes	Yes	Yes	No
NFIA	No	Yes	No	No
NFIB	No	No	Yes	No
NFIC	Yes	No	No	No
NFIL3	Yes	No	Yes	No
NFIX	Yes	Yes	Yes	No
NFKB1	No	Yes	No	No
NFKBID	No	Yes	No	No
NFXL1	No	Yes	No	No
NFYB	Yes	Yes	Yes	No
NGFR	No	Yes	No	No
NHP2	Yes	No	No	No
NID2	Yes	Yes	Yes	No
NIN	No	No	No	Yes
NINJ1	No	Yes	No	No
NIPAL2	No	No	Yes	No
NKD1	Yes	No	No	No
NKX1-1	Yes	No	Yes	No
NKX1-2	Yes	No	No	No
NKX2-1	Yes	No	No	No
NKX2-2	Yes	No	No	No
NKX2-3	Yes	No	No	No
NKX2-4	Yes	No	No	No
NKX2-5	Yes	No	No	No
NKX2-6	Yes	No	No	No
NKX2-8	Yes	No	No	No
NKX3-1	Yes	No	No	No
NKX3-2	Yes	No	Yes	No
NKX6-1	Yes	Yes	Yes	No
NKX6-2	Yes	No	No	No
NLGN1	No	No	Yes	No
NLRP6	Yes	Yes	Yes	Yes
NMB	No	Yes	No	No
NME3	Yes	No	No	No
NMNAT2	Yes	No	No	No
NMRAL1	No	Yes	No	No
NMRK1	Yes	No	No	No
NMUR1	No	Yes	No	No
NNAT	Yes	No	No	No
NOC2L	No	Yes	No	No
NOM1	Yes	Yes	No	No
NOMO2	Yes	No	No	No
NOMO3	Yes	No	No	No
NOS1	Yes	No	No	No
NOS1AP	Yes	No	No	No
NOTCH1	Yes	Yes	Yes	No
NOTCH2	No	Yes	No	No
NOTCH2NL	Yes	Yes	No	No
NOTUM	Yes	Yes	Yes	No
NOXO1	No	Yes	No	No
NPAP1	Yes	No	No	No
NPAS1	No	Yes	No	No
NPAS2	No	Yes	No	No
NPAT	Yes	No	No	No
NPBWR1	No	No	Yes	No
NPC1	Yes	Yes	Yes	No
NPDC1	Yes	Yes	Yes	No
NPFF	Yes	No	No	No
NPHP4	Yes	No	No	No
NPIPB3	No	No	Yes	No
NPM1	Yes	Yes	Yes	No
NPPC	Yes	No	No	No
NPR3	Yes	No	No	Yes
NPRL2	Yes	No	No	No
NPS	Yes	No	No	No
NPTN	Yes	No	No	No
NPTX1	Yes	Yes	Yes	No
NPTX2	Yes	No	No	No
NPTXR	Yes	Yes	Yes	No
NPVF	Yes	Yes	No	No
NPY	Yes	Yes	Yes	Yes
NR2E1	Yes	Yes	Yes	No
NR2F1	Yes	No	No	No
NR2F2	Yes	No	No	No
NR4A3	Yes	No	No	No
NR5A2	Yes	Yes	Yes	Yes
NRARP	Yes	Yes	Yes	Yes
NRBP1	No	No	Yes	No
NRCAM	Yes	Yes	No	No
NRD1	Yes	No	No	No
NRDE2	No	Yes	No	No
NRF1	Yes	No	No	No
NRG1	Yes	No	No	No
NRN1	Yes	Yes	No	No
NRP2	No	No	Yes	No
NRXN1	Yes	Yes	Yes	No
NRXN2	Yes	No	No	No
NSD1	Yes	No	No	No
NSFL1C	Yes	Yes	Yes	No
NSMAF	No	Yes	No	No
NT5C1B-RDH14	Yes	No	No	No
NT5DC2	No	No	Yes	No
NT5E	Yes	Yes	Yes	No
NTMT1	No	No	Yes	No
NTN1	Yes	No	No	No
NTNG2	Yes	Yes	Yes	No
NTPCR	No	Yes	No	No
NTRK3	Yes	No	No	Yes
NUAK1	Yes	No	No	No
NUAK2	Yes	No	No	No
NUB1	No	Yes	No	No
NUDCD1	No	Yes	No	No
NUDT16L1	Yes	No	No	No
NUDT5	No	Yes	No	No
NUMBL	Yes	No	No	No
NUP153	Yes	Yes	Yes	No
NUP210	Yes	No	No	No
NUP214	Yes	No	No	No
NUP88	No	Yes	No	No
NUS1	No	Yes	No	No
NXPH1	Yes	No	No	Yes
NXPH3	No	Yes	Yes	No
NXPH4	Yes	Yes	Yes	No
OAT	Yes	Yes	Yes	No
OAZ1	No	Yes	No	No
OCA2	Yes	Yes	Yes	No
ODC1	Yes	Yes	Yes	No
ODF1	Yes	No	No	No
ODF2L	No	Yes	No	No
OFCC1	Yes	Yes	Yes	No
OGDHL	Yes	No	No	No
OGFRL1	Yes	No	Yes	No
OGT	Yes	No	No	No
OLFM1	No	Yes	No	No
OLFM2	Yes	No	No	No
OLIG1	Yes	No	No	No
OLIG2	Yes	No	Yes	No
OLIG3	Yes	No	Yes	No
OMA1	Yes	No	No	No
ONECUT1	Yes	Yes	Yes	Yes
ONECUT2	Yes	No	No	Yes
ONECUT3	Yes	No	No	No
OPA1	Yes	Yes	Yes	No
OPA3	Yes	No	No	No
OPCML	Yes	No	No	No
OPRD1	Yes	Yes	Yes	No
OPRK1	No	No	Yes	No
OPRL1	No	Yes	No	No
OR10AD1	Yes	No	No	No
OR10J1	Yes	No	No	No
OR10J5	Yes	No	No	No
OR10K1	Yes	No	No	No
OR10K2	Yes	No	No	No
OR14C36	Yes	No	No	No
OR14I1	Yes	No	No	No
OR14J1	Yes	No	No	No
OR1F1	Yes	No	No	No
OR2AK2	Yes	No	No	No
OR2H2	Yes	No	No	No
OR2J2	Yes	No	No	No
OR2L2	Yes	No	No	No
OR2L3	Yes	No	No	No
OR2L5	Yes	No	No	No
OR2M2	Yes	No	No	No
OR2M3	Yes	No	No	No
OR2M4	Yes	No	No	No
OR2M5	Yes	No	No	No
OR2M7	Yes	No	No	No
OR2T1	Yes	No	No	No
OR2T10	Yes	No	No	No
OR2T12	Yes	No	No	No
OR2T27	Yes	No	No	No
OR2T33	Yes	No	No	No
OR2T34	Yes	No	No	No
OR2T4	Yes	No	No	No
OR2T6	Yes	No	No	No
OR2V1	Yes	No	No	No
OR2V2	No	Yes	No	No
OR4E2	No	Yes	No	No
ORAI1	Yes	Yes	Yes	No
ORAOV1	Yes	Yes	Yes	No
ORC4	No	Yes	No	No
ORM1	Yes	Yes	Yes	No
OSBPL7	Yes	No	No	No
OSBPL9	Yes	No	No	No
OSGIN2	No	Yes	No	No
OSR1	Yes	No	Yes	No
OSTF1	Yes	No	No	No
OSTM1	Yes	Yes	Yes	No
OTOP2	Yes	No	No	No
OTOP3	Yes	No	No	No
OTP	Yes	No	No	No
OTUD1	Yes	Yes	Yes	No
OTUD4	No	Yes	No	No
OTUD7B	No	Yes	No	No
OTX1	Yes	Yes	Yes	Yes
OTX2	Yes	Yes	Yes	No
OVOL1	Yes	No	No	No
OXCT1	No	No	Yes	No
OXCT2	Yes	No	No	No
OXTR	Yes	No	No	No
P2RX1	Yes	No	No	No
P2RX2	Yes	Yes	No	No
PABPN1L	Yes	Yes	Yes	No
PACSIN3	Yes	Yes	Yes	No
PADI4	Yes	No	No	No
PAFAH1B1	Yes	No	No	No
PAICS	No	Yes	No	No
PAK7	Yes	Yes	Yes	No
PALLD	No	No	Yes	No
PALM3	No	Yes	No	No
PANK4	Yes	Yes	Yes	Yes
PANX1	Yes	No	No	No
PAPPA	Yes	No	No	No
PAPPA-AS1	Yes	No	No	No
PAPSS1	No	No	Yes	No
PAQR4	Yes	Yes	Yes	No
PAQR8	No	Yes	No	No
PARD6G	Yes	No	No	No
PARK7	Yes	Yes	Yes	No
PARP1	No	Yes	No	No
PARP10	Yes	Yes	Yes	No
PARP11	Yes	No	No	No
PARP4	Yes	No	No	No
PARP8	Yes	No	No	No
PASK	No	Yes	No	No
PATZ1	No	Yes	No	No
PAX1	Yes	No	No	No
PAX2	Yes	No	No	Yes
PAX3	Yes	Yes	No	No
PAX5	Yes	No	No	No
PAX6	Yes	No	No	No
PAX9	Yes	No	No	No
PAXIP1	Yes	No	No	No
PBX3	Yes	No	No	No
PCBP3	Yes	Yes	Yes	No
PCCA	Yes	No	No	Yes
PCDH1	Yes	Yes	Yes	No
PCDH17	Yes	No	No	No
PCDH7	Yes	No	No	No
PCDH8	Yes	Yes	Yes	No
PCDHAC2	Yes	No	No	No
PCDHB1	Yes	No	No	No
PCDHGC3	Yes	No	No	No
PCDHGC4	Yes	No	No	No
PCED1B	Yes	No	No	No
PCGF2	No	No	No	Yes
PCGF3	Yes	No	No	No
PCMTD2	Yes	No	No	No
PCNX	No	No	Yes	No
PCNXL2	Yes	No	No	No
PCNXL3	No	No	Yes	No
PCOLCE2	No	Yes	No	No
PCP4	No	No	No	Yes
PCSK9	No	Yes	No	No
PDCD4	Yes	No	No	No
PDCD6	No	Yes	No	No
PDE4A	Yes	Yes	Yes	No
PDE4D	Yes	No	No	No
PDE6A	Yes	No	No	No
PDE6B	Yes	No	No	No
PDGFA	Yes	Yes	Yes	No
PDGFRA	No	No	Yes	No
PDIA3	No	Yes	No	No
PDIA4	No	Yes	No	No
PDIA6	No	Yes	No	No
PDK2	Yes	Yes	Yes	No
PDLIM1	Yes	No	No	No
PDLIM2	Yes	No	No	No
PDLIM5	Yes	No	No	No
PDX1	Yes	No	No	No
PDZD8	Yes	Yes	No	No
PDZRN3	Yes	No	No	No
PDZRN4	Yes	No	No	No
PEAR1	No	Yes	No	No
PELI3	No	No	Yes	No
PENK	Yes	No	No	No
PEPD	No	Yes	No	No
PER1	Yes	No	No	No
PER2	Yes	No	No	No
PERP	Yes	Yes	Yes	No
PEX13	No	Yes	No	No
PEX16	No	No	Yes	Yes
PEX2	Yes	No	No	No
PFAS	Yes	No	No	No
PFKFB2	No	No	Yes	No
PFKFB3	Yes	No	No	No
PFKP	No	Yes	No	No
PFN2	Yes	No	No	No
PFN3	Yes	No	No	No
PGAP2	Yes	No	No	No
PGBD3	No	No	No	Yes
PGBD5	No	No	Yes	No
PGLYRP3	Yes	No	Yes	No
PGLYRP4	Yes	No	No	No
PGM3	No	Yes	No	No
PGPEP1L	Yes	No	No	No
PHACTR1	Yes	Yes	Yes	No
PHACTR3	Yes	No	No	No
PHACTR4	No	Yes	No	No
PHB2	Yes	No	No	No
PHC1	Yes	No	No	No
PHF12	Yes	No	No	No
PHF13	Yes	Yes	Yes	No
PHF14	No	No	Yes	No
PHF21A	Yes	No	No	No
PHF21B	No	No	Yes	No
PHGDH	No	Yes	No	No
PHLDA3	Yes	Yes	Yes	No
PHLDB1	No	No	Yes	Yes
PHLPP1	No	Yes	No	No
PHOX2A	Yes	No	No	No
PHOX2B	Yes	No	No	No
PHPT1	Yes	No	No	Yes
PHYHIPL	No	No	Yes	No
PIANP	Yes	No	No	No
PIAS1	Yes	No	No	No
PID1	No	No	Yes	No
PIEZO1	Yes	No	No	No
PIEZO2	Yes	Yes	Yes	No
PIGG	Yes	No	No	No
PIGL	No	No	Yes	No
PIGV	Yes	No	No	No
PIGX	No	Yes	No	No
PIGZ	No	Yes	No	No
PIK3CB	Yes	Yes	Yes	Yes
PIK3CD	No	Yes	No	No
PIK3IP1	Yes	No	No	No
PIK3R1	Yes	No	No	No
PIK3R4	No	No	Yes	No
PIM3	Yes	No	No	No
PINX1	Yes	No	No	No
PIP5K1A	No	Yes	No	No
PIRT	No	Yes	No	No
PITPNA	Yes	Yes	Yes	No
PITPNB	No	No	Yes	No
PITRM1	No	Yes	No	No
PITX1	Yes	No	No	Yes
PITX2	Yes	No	No	No
PIWIL1	Yes	Yes	Yes	No
PKIA	No	No	No	Yes
PKMYT1	Yes	Yes	Yes	No
PKNOX2	Yes	No	No	No
PLA2G7	No	No	Yes	No
PLAG1	No	Yes	No	No
PLAGL1	No	Yes	No	No
PLAUR	No	No	Yes	No
PLCB1	No	No	Yes	Yes
PLCB3	Yes	No	No	No
PLCD1	Yes	No	No	No
PLCG1	No	No	Yes	No
PLCG2	Yes	No	No	No
PLCH1	Yes	No	No	No
PLCL2	No	Yes	No	No
PLCXD3	No	No	Yes	No
PLD5	Yes	No	No	No
PLEC	Yes	Yes	Yes	No
PLEKHA2	Yes	Yes	Yes	No
PLEKHA8	Yes	No	No	No
PLEKHB2	Yes	No	No	No
PLEKHF1	Yes	Yes	Yes	No
PLEKHG2	Yes	Yes	No	No
PLEKHG3	No	No	Yes	No
PLEKHG6	Yes	Yes	Yes	Yes
PLEKHN1	Yes	Yes	Yes	No
PLEKHO1	No	Yes	No	Yes
PLIN2	Yes	Yes	Yes	No
PLIN3	Yes	No	No	No
PLK2	Yes	No	No	No
PLN	Yes	No	Yes	No
PLSCR1	Yes	Yes	Yes	No
PLSCR4	No	No	Yes	No
PLXDC1	No	Yes	No	No
PLXNA1	Yes	Yes	Yes	No
PLXNA4	Yes	No	No	No
PLXNB1	Yes	No	No	No
PLXNB2	Yes	No	No	Yes
PLXNC1	No	Yes	No	No
PLXND1	No	Yes	No	No
PMEPA1	No	Yes	No	No
PMFBP1	No	No	Yes	No
PMP22	Yes	Yes	Yes	No
PNISR	No	Yes	No	No
PNKP	Yes	No	No	No
PNMA2	Yes	No	No	No
PNPLA8	No	Yes	No	No
PNPO	No	No	Yes	No
PNRC1	Yes	No	No	No
PODXL	No	Yes	No	No
POFUT2	Yes	No	No	No
POGK	Yes	No	Yes	No
POLA2	Yes	No	No	No
POLD4	Yes	Yes	Yes	No
POLDIP3	No	Yes	Yes	No
POLG	Yes	No	No	No
POLR2B	No	Yes	No	No
POLR2H	No	No	Yes	No
POLR2L	Yes	No	Yes	No
POLR3B	No	No	Yes	No
POLR3C	No	Yes	No	No
POLR3G	Yes	No	No	No
POMC	Yes	Yes	Yes	No
POP4	Yes	Yes	Yes	No
POP7	No	Yes	No	No
POU3F1	Yes	No	No	No
POU3F2	No	Yes	Yes	Yes
POU3F3	Yes	No	Yes	No
POU4F1	Yes	No	Yes	No
POU4F2	Yes	No	No	No
POU4F3	Yes	No	Yes	No
POU5F2	Yes	No	No	No
PPAPDC1A	Yes	Yes	No	No
PPAPDC3	Yes	No	No	No
PPARA	Yes	Yes	Yes	No
PPARGC1B	Yes	No	Yes	No
PPAT	No	Yes	No	No
PPDPF	Yes	No	No	No
PPEF2	No	Yes	No	No
PPFIA1	No	Yes	No	No
PPIAL4C	Yes	No	No	No
PPIAL4G	Yes	No	No	No
PPIB	No	No	Yes	No
PPIC	Yes	No	No	No
PPIF	Yes	No	No	No
PPIL4	Yes	No	No	No
PPM1H	No	Yes	No	No
PPM1L	Yes	Yes	Yes	No
PPP1CB	No	No	Yes	No
PPP1CC	No	No	Yes	No
PPP1R12B	Yes	No	No	No
PPP1R16B	Yes	Yes	Yes	No
PPP1R26	No	Yes	Yes	No
PPP1R32	Yes	Yes	Yes	No
PPP1R37	Yes	No	No	No
PPP1R7	No	Yes	No	No
PPP1R9B	Yes	Yes	Yes	No
PPP2CB	No	Yes	No	No
PPP2R2B	Yes	No	No	No
PPP2R2C	Yes	Yes	Yes	No
PPP2R2D	Yes	No	No	No
PPP2R4	Yes	Yes	Yes	No
PPP2R5C	Yes	No	No	No
PPP4R2	Yes	No	Yes	No
PPP6R3	Yes	Yes	Yes	No
PPT2	Yes	No	No	No
PPT2-EGFL8	Yes	No	No	No
PRAC	Yes	No	No	No
PRAMEF20	Yes	No	No	No
PRCP	No	Yes	No	No
PRDM12	Yes	No	No	No
PRDM13	Yes	No	Yes	No
PRDM16	Yes	No	No	No
PRDM8	Yes	No	No	No
PRELID1	No	No	Yes	No
PREX2	No	Yes	No	No
PRICKLE1	Yes	Yes	Yes	No
PRIM2	Yes	No	No	No
PRKAB2	Yes	No	No	Yes
PRKACA	No	No	Yes	No
PRKAG2	Yes	Yes	Yes	No
PRKCB	Yes	Yes	Yes	No
PRKCD	Yes	No	No	No
PRKCG	No	No	Yes	No
PRKCQ	Yes	No	No	No
PRKDC	Yes	No	No	No
PRKG1	Yes	No	No	Yes
PRKG2	No	No	Yes	No
PRKRA	No	Yes	No	No
PRKRIP1	No	Yes	No	No
PRKRIR	No	Yes	No	No
PRKX	Yes	No	No	No
PRLHR	Yes	No	No	No
PRODH	Yes	No	No	No
PROK2	Yes	Yes	Yes	No
PROKR2	Yes	No	Yes	Yes
PROM1	Yes	Yes	Yes	No
PROX1	Yes	Yes	Yes	No
PRPF6	Yes	No	No	Yes
PRPH	Yes	No	No	No
PRPH2	No	Yes	No	No
PRPSAP1	No	Yes	No	No
PRR11	No	Yes	No	No
PRR5	Yes	Yes	No	No
PRR7	Yes	No	No	No
PRRT1	Yes	No	No	No
PRRX1	Yes	No	No	No
PRSS1	Yes	No	No	No
PRSS12	Yes	Yes	Yes	No
PSAPL1	Yes	No	Yes	No
PSAT1	No	No	Yes	No
PSD2	Yes	Yes	Yes	No
PSMB2	No	Yes	No	No
PSMB8	Yes	No	No	No
PSMC1	Yes	Yes	Yes	No
PSMD6	Yes	Yes	Yes	No
PTBP1	Yes	No	No	No
PTCH1	No	No	Yes	No
PTCHD2	No	Yes	No	No
PTF1A	Yes	No	No	No
PTGER2	Yes	Yes	Yes	No
PTGES2	Yes	No	No	No
PTGR1	Yes	No	No	No
PTGS2	No	No	Yes	No
PTH2	Yes	No	No	No
PTHLH	No	No	No	Yes
PTK6	Yes	No	No	No
PTMA	No	Yes	No	No
PTN	No	No	Yes	No
PTOV1	Yes	No	No	No
PTP4A2	No	Yes	No	No
PTP4A3	Yes	Yes	Yes	No
PTPN1	No	No	Yes	No
